FISCAL YEAR,Month,FUND,ACCOUNT GROUP NAME,EXPENDITURE
2016,3,100,SALARIES AND BENEFITS,45902148.94
2012,6,100,SALARIES AND BENEFITS,45869193.37
2016,9,100,SALARIES AND BENEFITS,45792116.49
2012,2,100,SALARIES AND BENEFITS,45781675.4
2012,1,100,SALARIES AND BENEFITS,45772370.98
2012,11,100,SALARIES AND BENEFITS,45561660.87
2012,9,100,SALARIES AND BENEFITS,45385823.52
2016,4,100,SALARIES AND BENEFITS,45286670.94
2016,10,100,SALARIES AND BENEFITS,45214107.67
2016,12,100,SALARIES AND BENEFITS,45211557.26
2012,8,100,SALARIES AND BENEFITS,45200194.91
2016,5,100,SALARIES AND BENEFITS,45108306.06
2016,11,100,SALARIES AND BENEFITS,45019422.5
2016,6,100,SALARIES AND BENEFITS,45015628.32
2011,6,286,NOT DEF,37862727.56
2019,7,100,SALARIES AND BENEFITS,37298551.35
2011,6,274,NOT DEF,36888169.79
2012,7,100,SALARIES AND BENEFITS,32900455.96
2011,6,290,NOT DEF,30989709.17
2017,7,100,SALARIES AND BENEFITS,30652193.54
2014,7,100,SALARIES AND BENEFITS,30040732.36
2013,7,100,SALARIES AND BENEFITS,29921599.89
2016,7,100,SALARIES AND BENEFITS,28687398.98
2015,7,100,SALARIES AND BENEFITS,27874677.78
2016,7,100,SALARIES AND BENEFITS,27448739.8
2018,1,100,SALARIES AND BENEFITS,26346830.2
2017,8,100,SALARIES AND BENEFITS,25444992.5
2015,7,100,SALARIES AND BENEFITS,25101931.19
2011,6,272,NOT DEF,24107421.48
2017,7,100,SALARIES AND BENEFITS,23974106.74
2019,12,100,SALARIES AND BENEFITS,23834421.8
2016,2,100,SALARIES AND BENEFITS,23794001.29
2014,7,100,SALARIES AND BENEFITS,23153656.73
2020,12,100,SALARIES AND BENEFITS,22948937.69
2013,7,100,SALARIES AND BENEFITS,22758552.55
2016,8,100,SALARIES AND BENEFITS,22657069.92
2015,3,100,SALARIES AND BENEFITS,20909957.93
2011,6,653,NOT DEF,20348265.79
2012,6,554,NOT DEF,20011957.28
2014,4,100,SALARIES AND BENEFITS,19872269.98
2015,9,100,SALARIES AND BENEFITS,19755365.12
2011,6,276,NOT DEF,19702072.25
2014,9,100,SALARIES AND BENEFITS,19101531.67
2013,4,100,SALARIES AND BENEFITS,19027718.77
2012,7,100,SALARIES AND BENEFITS,18884540.37
2012,4,100,SALARIES AND BENEFITS,18407191.82
2013,10,100,SALARIES AND BENEFITS,18269474.19
2012,10,100,SALARIES AND BENEFITS,18063140.79
2011,6,274,NOT DEF,17725930.29
2019,1,100,SALARIES AND BENEFITS,17217343.54
2019,1,100,SALARIES AND BENEFITS,17217343.54
2011,6,286,NOT DEF,17170363
2016,1,100,SALARIES AND BENEFITS,16982432.23
2020,1,100,SALARIES AND BENEFITS,16848783.81
2018,9,100,SALARIES AND BENEFITS,16723391.36
2017,4,100,SALARIES AND BENEFITS,16675553.4
2018,8,100,SALARIES AND BENEFITS,16590877.32
2017,5,100,SALARIES AND BENEFITS,16555610.31
2011,6,280,NOT DEF,16538432.79
2011,6,26D,NOT DEF,16449889.79
2018,12,100,SALARIES AND BENEFITS,16436566.46
2018,2,100,SALARIES AND BENEFITS,16374398.26
2018,11,100,SALARIES AND BENEFITS,16335681.05
2018,10,100,SALARIES AND BENEFITS,16332179.37
2018,3,100,SALARIES AND BENEFITS,16261610.18
2019,8,100,SALARIES AND BENEFITS,16143191.51
2019,9,100,SALARIES AND BENEFITS,16017253.19
2017,9,100,SALARIES AND BENEFITS,15980079.93
2019,11,100,SALARIES AND BENEFITS,15871776.22
2019,11,100,SALARIES AND BENEFITS,15871776.22
2018,4,100,SALARIES AND BENEFITS,15865225.44
2019,10,100,SALARIES AND BENEFITS,15851491.69
2016,4,100,SALARIES AND BENEFITS,15802734.09
2016,6,100,SALARIES AND BENEFITS,15787685.46
2018,5,100,SALARIES AND BENEFITS,15768176.96
2016,3,100,SALARIES AND BENEFITS,15670034.95
2016,12,100,SALARIES AND BENEFITS,15596562.36
2016,11,100,SALARIES AND BENEFITS,15595412.68
2020,3,100,SALARIES AND BENEFITS,15592120.07
2016,5,100,SALARIES AND BENEFITS,15522744.33
2016,10,100,SALARIES AND BENEFITS,15471065.65
2016,9,100,SALARIES AND BENEFITS,15388551.41
2019,2,100,SALARIES AND BENEFITS,15308312.11
2019,2,100,SALARIES AND BENEFITS,15308312.11
2020,2,100,SALARIES AND BENEFITS,15197018.83
2020,11,100,SALARIES AND BENEFITS,15186689.26
2020,10,100,SALARIES AND BENEFITS,15146041.72
2015,1,100,SALARIES AND BENEFITS,15048445.72
2011,6,287,NOT DEF,14888072.14
2019,7,100,SALARIES AND BENEFITS,14833471.45
2020,4,100,SALARIES AND BENEFITS,14829559.12
2019,5,100,SALARIES AND BENEFITS,14769995.28
2019,3,100,SALARIES AND BENEFITS,14595611.02
2019,4,100,SALARIES AND BENEFITS,14395642.09
2016,6,26V,NOT DEF,14293268.67
2015,5,100,SALARIES AND BENEFITS,14266801.26
2012,12,100,SALARIES AND BENEFITS,14207033.16
2015,6,100,SALARIES AND BENEFITS,14197244.76
2015,4,100,SALARIES AND BENEFITS,14173214.65
2011,6,283,NOT DEF,14002503.09
2015,2,100,SALARIES AND BENEFITS,13521446.61
2015,11,100,SALARIES AND BENEFITS,13277249.16
2015,12,100,SALARIES AND BENEFITS,13254491.26
2018,3,27A,NOT DEF,13219805.49
2015,10,100,SALARIES AND BENEFITS,13117117.11
2011,6,264,NOT DEF,13102867.14
2014,5,100,SALARIES AND BENEFITS,13097113.37
2015,8,100,SALARIES AND BENEFITS,13036262.94
2014,2,100,SALARIES AND BENEFITS,13033255.71
2020,12,100,SALARIES AND BENEFITS,13028892.43
2014,6,100,SALARIES AND BENEFITS,13003928
2014,3,100,SALARIES AND BENEFITS,12946959.7
2014,11,100,SALARIES AND BENEFITS,12876599.5
2014,1,100,SALARIES AND BENEFITS,12872941.3
2014,10,100,SALARIES AND BENEFITS,12862022.14
2014,12,100,SALARIES AND BENEFITS,12798840.38
2014,8,100,SALARIES AND BENEFITS,12755393.46
2013,2,100,SALARIES AND BENEFITS,12553838.04
2013,3,100,SALARIES AND BENEFITS,12467800.89
2013,5,100,SALARIES AND BENEFITS,12372748.7
2013,6,100,SALARIES AND BENEFITS,12338995.39
2011,6,47C,NOT DEF,12330146.34
2012,8,100,SALARIES AND BENEFITS,12293279.88
2013,1,100,SALARIES AND BENEFITS,12247836.77
2012,9,100,SALARIES AND BENEFITS,12209971.05
2012,1,100,SALARIES AND BENEFITS,12185531.53
2012,3,100,SALARIES AND BENEFITS,12178893.84
2012,2,100,SALARIES AND BENEFITS,12117355.27
2019,7,100,SALARIES AND BENEFITS,12081430.65
2013,9,100,SALARIES AND BENEFITS,12071284.87
2013,8,100,SALARIES AND BENEFITS,12038552.65
2013,12,100,SALARIES AND BENEFITS,11967333.79
2012,11,100,SALARIES AND BENEFITS,11965460.41
2013,11,100,SALARIES AND BENEFITS,11949035.37
2012,5,100,SALARIES AND BENEFITS,11923488.67
2012,6,100,SALARIES AND BENEFITS,11828318.09
2017,7,100,SALARIES AND BENEFITS,11489472.04
2011,6,26C,NOT DEF,10951385.23
2020,2,298,NOT DEF,10853824.32
2014,3,100,SALARIES AND BENEFITS,10824718.7
2011,6,554,NOT DEF,10506697.61
2019,12,100,SALARIES AND BENEFITS,10499648.85
2020,12,100,SALARIES AND BENEFITS,10177205.45
2018,1,100,SALARIES AND BENEFITS,10053619.81
2011,6,26C,NOT DEF,9918402.51
2020,11,100,SALARIES AND BENEFITS,9846622.84
2020,10,100,SALARIES AND BENEFITS,9743892.12
2019,12,100,SALARIES AND BENEFITS,9720612.99
2011,6,286,NOT DEF,9553433.23
2020,3,100,SALARIES AND BENEFITS,9480787.03
2018,1,100,SALARIES AND BENEFITS,9241488.3
2015,3,100,SALARIES AND BENEFITS,8820678.51
2015,9,100,SALARIES AND BENEFITS,8819127.45
2014,4,100,SALARIES AND BENEFITS,8711761.78
2018,1,100,SALARIES AND BENEFITS,8696736.9
2020,12,100,SALARIES AND BENEFITS,8673575.45
2015,9,100,SALARIES AND BENEFITS,8640037.36
2012,7,100,SALARIES AND BENEFITS,8618123.78
2014,4,100,SALARIES AND BENEFITS,8585858.25
2017,8,100,SALARIES AND BENEFITS,8579681.4
2016,7,100,SALARIES AND BENEFITS,8557833.48
2019,12,100,SALARIES AND BENEFITS,8546028.13
2016,7,100,SALARIES AND BENEFITS,8540498.15
2016,8,100,SALARIES AND BENEFITS,8524899.02
2013,4,100,SALARIES AND BENEFITS,8477889.6
2016,2,100,SALARIES AND BENEFITS,8467718.82
2020,12,100,SALARIES AND BENEFITS,8447909.39
2017,8,100,SALARIES AND BENEFITS,8428987.75
2011,6,290,NOT DEF,8422840.56
2013,10,100,SALARIES AND BENEFITS,8363669.52
2012,4,100,SALARIES AND BENEFITS,8285240.76
2014,9,100,SALARIES AND BENEFITS,8271549.33
2020,1,100,SALARIES AND BENEFITS,8268755.14
2019,9,100,SALARIES AND BENEFITS,8258953.94
2012,10,100,SALARIES AND BENEFITS,8255159.14
2017,7,100,SALARIES AND BENEFITS,8105591.16
2016,2,100,SALARIES AND BENEFITS,8043249.79
2015,3,100,SALARIES AND BENEFITS,8025314.97
2020,11,100,EXPENSES,8020233.7
2011,6,274,NOT DEF,8013521.8
2011,6,296,NOT DEF,7971899.36
2020,2,100,SALARIES AND BENEFITS,7927562.54
2011,6,47C,NOT DEF,7926101.43
2015,9,100,SALARIES AND BENEFITS,7909448.22
2014,7,100,SALARIES AND BENEFITS,7879467.09
2020,3,100,SALARIES AND BENEFITS,7868095
2013,7,100,SALARIES AND BENEFITS,7847239.93
2019,1,100,SALARIES AND BENEFITS,7828567.89
2019,1,100,SALARIES AND BENEFITS,7828567.89
2016,8,100,SALARIES AND BENEFITS,7804147.43
2019,8,100,SALARIES AND BENEFITS,7788366.98
2018,1,100,SALARIES AND BENEFITS,7771215.83
2013,4,100,SALARIES AND BENEFITS,7738169.57
2015,7,100,SALARIES AND BENEFITS,7721021.65
2019,5,100,SALARIES AND BENEFITS,7671246.68
2019,4,100,SALARIES AND BENEFITS,7621071.73
2012,4,100,SALARIES AND BENEFITS,7614958.37
2018,12,100,SALARIES AND BENEFITS,7607662.14
2012,10,100,SALARIES AND BENEFITS,7584777.22
2018,9,100,SALARIES AND BENEFITS,7544371.32
2014,9,100,SALARIES AND BENEFITS,7543964.98
2018,8,100,SALARIES AND BENEFITS,7478325.57
2013,10,100,SALARIES AND BENEFITS,7475746.35
2017,8,100,SALARIES AND BENEFITS,7465906.27
2019,10,100,SALARIES AND BENEFITS,7441753.36
2019,12,100,SALARIES AND BENEFITS,7361465.47
2018,3,100,EXPENSES,7347628.02
2011,6,286,NOT DEF,7273382.92
2011,6,290,NOT DEF,7269932.1
2017,8,100,SALARIES AND BENEFITS,7131481.29
2019,11,100,SALARIES AND BENEFITS,7124199.39
2019,11,100,SALARIES AND BENEFITS,7124199.39
2015,7,100,SALARIES AND BENEFITS,7070678.58
2020,2,100,SALARIES AND BENEFITS,7020417.6
2019,11,100,EXPENSES,7003580.09
2019,11,100,EXPENSES,7003580.09
2020,4,100,SALARIES AND BENEFITS,6928189.74
2016,2,100,SALARIES AND BENEFITS,6925187.67
2020,4,100,SALARIES AND BENEFITS,6915460.45
2019,3,100,SALARIES AND BENEFITS,6868162.26
2020,1,100,SALARIES AND BENEFITS,6824314.71
2016,8,100,SALARIES AND BENEFITS,6818562
2011,6,286,NOT DEF,6800000
2015,3,100,SALARIES AND BENEFITS,6799993.31
2020,11,100,SALARIES AND BENEFITS,6691049.02
2019,1,100,SALARIES AND BENEFITS,6667422
2019,1,100,SALARIES AND BENEFITS,6667422
2018,10,100,SALARIES AND BENEFITS,6616964.07
2019,11,100,SALARIES AND BENEFITS,6589651.61
2019,11,100,SALARIES AND BENEFITS,6589651.61
2011,6,47C,NOT DEF,6587054.44
2019,2,100,SALARIES AND BENEFITS,6581740.11
2019,2,100,SALARIES AND BENEFITS,6581740.11
2015,9,100,SALARIES AND BENEFITS,6567881.36
2019,3,100,SALARIES AND BENEFITS,6544424.47
2011,6,274,NOT DEF,6510000
2019,4,100,SALARIES AND BENEFITS,6507847.15
2015,3,100,SALARIES AND BENEFITS,6502685.54
2014,7,100,SALARIES AND BENEFITS,6468170.08
2019,5,100,SALARIES AND BENEFITS,6443581.44
2019,2,100,SALARIES AND BENEFITS,6438840.29
2019,2,100,SALARIES AND BENEFITS,6438840.29
2011,6,554,NOT DEF,6412792.5
2019,10,100,SALARIES AND BENEFITS,6410847.55
2018,4,100,SALARIES AND BENEFITS,6396186.67
2019,9,100,SALARIES AND BENEFITS,6395186.48
2018,11,100,SALARIES AND BENEFITS,6394018
2018,3,100,SALARIES AND BENEFITS,6389675.86
2019,8,100,SALARIES AND BENEFITS,6374592.08
2020,10,100,SALARIES AND BENEFITS,6327318.22
2018,3,100,SALARIES AND BENEFITS,6327054.1
2011,6,274,NOT DEF,6315000
2016,10,100,SALARIES AND BENEFITS,6314648.04
2018,5,100,SALARIES AND BENEFITS,6286069.23
2018,2,100,SALARIES AND BENEFITS,6276753.11
2018,2,100,SALARIES AND BENEFITS,6262900.32
2014,4,100,SALARIES AND BENEFITS,6187364.8
2018,8,100,SALARIES AND BENEFITS,6161846.45
2014,4,100,SALARIES AND BENEFITS,6127820.88
2014,9,100,SALARIES AND BENEFITS,6119754.78
2018,11,100,SALARIES AND BENEFITS,6109488.47
2018,9,100,SALARIES AND BENEFITS,6089675.41
2011,6,288,NOT DEF,6083953.23
2020,1,100,SALARIES AND BENEFITS,6074407.43
2016,6,339,NOT DEF,6070199.41
2011,6,26E,NOT DEF,6064576.04
2018,10,100,SALARIES AND BENEFITS,6063734.98
2020,2,100,SALARIES AND BENEFITS,6038633.84
2015,9,100,SALARIES AND BENEFITS,6029490.12
2020,1,100,SALARIES AND BENEFITS,6017607.61
2012,12,100,SALARIES AND BENEFITS,6009729.65
2018,12,100,SALARIES AND BENEFITS,6004728.71
2018,4,100,SALARIES AND BENEFITS,6002056.51
2012,2,100,SALARIES AND BENEFITS,5994616.12
2011,6,650,NOT DEF,5993779.26
2017,5,100,SALARIES AND BENEFITS,5986386.92
2015,12,100,SALARIES AND BENEFITS,5984077.14
2020,4,100,SALARIES AND BENEFITS,5981009.72
2015,11,100,SALARIES AND BENEFITS,5969100.82
2015,10,100,SALARIES AND BENEFITS,5958139.59
2013,7,100,SALARIES AND BENEFITS,5934264.54
2013,4,100,SALARIES AND BENEFITS,5930771.73
2015,1,100,SALARIES AND BENEFITS,5925748.85
2015,6,26R,NOT DEF,5920306.84
2014,6,100,SALARIES AND BENEFITS,5918792.06
2019,7,100,SALARIES AND BENEFITS,5913944.2
2019,1,100,SALARIES AND BENEFITS,5905784.59
2019,1,100,SALARIES AND BENEFITS,5905784.59
2017,4,100,SALARIES AND BENEFITS,5904566.38
2014,2,100,SALARIES AND BENEFITS,5902555.12
2020,3,100,SALARIES AND BENEFITS,5888380.32
2020,3,100,SALARIES AND BENEFITS,5887965.95
2011,6,290,NOT DEF,5879918.24
2015,1,100,SALARIES AND BENEFITS,5873585.25
2015,8,100,SALARIES AND BENEFITS,5870398.01
2014,5,100,SALARIES AND BENEFITS,5869871.67
2020,2,100,SALARIES AND BENEFITS,5866354.63
2015,5,100,SALARIES AND BENEFITS,5851756.19
2016,6,26V,NOT DEF,5850627.4
2015,10,100,SALARIES AND BENEFITS,5831829.05
2018,2,100,SALARIES AND BENEFITS,5830911.3
2020,10,100,SALARIES AND BENEFITS,5821828.45
2014,6,100,SALARIES AND BENEFITS,5806056.81
2018,5,100,SALARIES AND BENEFITS,5805661.65
2015,2,100,SALARIES AND BENEFITS,5802651.86
2015,4,100,SALARIES AND BENEFITS,5800545.61
2018,3,100,SALARIES AND BENEFITS,5792154.1
2019,8,100,SALARIES AND BENEFITS,5788053.93
2016,2,100,SALARIES AND BENEFITS,5783969.88
2016,6,100,SALARIES AND BENEFITS,5780645.79
2015,6,100,SALARIES AND BENEFITS,5777833.58
2020,11,100,SALARIES AND BENEFITS,5776545.44
2014,3,100,SALARIES AND BENEFITS,5774491.34
2016,5,100,SALARIES AND BENEFITS,5771632.05
2019,2,100,SALARIES AND BENEFITS,5761359.56
2019,2,100,SALARIES AND BENEFITS,5761359.56
2016,8,100,SALARIES AND BENEFITS,5761000.6
2014,3,100,SALARIES AND BENEFITS,5753809.89
2019,7,100,SALARIES AND BENEFITS,5753158.21
2017,9,100,SALARIES AND BENEFITS,5748956.98
2015,12,100,SALARIES AND BENEFITS,5746725.05
2019,3,100,SALARIES AND BENEFITS,5745565.38
2012,3,100,SALARIES AND BENEFITS,5743481.31
2011,6,339,NOT DEF,5735078
2015,11,100,SALARIES AND BENEFITS,5734037.66
2014,1,100,SALARIES AND BENEFITS,5733397.42
2013,11,100,SALARIES AND BENEFITS,5728693.78
2019,9,100,SALARIES AND BENEFITS,5728053.82
2016,4,100,SALARIES AND BENEFITS,5726025.27
2019,10,100,SALARIES AND BENEFITS,5709177.46
2015,8,100,SALARIES AND BENEFITS,5702862.57
2014,5,100,SALARIES AND BENEFITS,5699551.34
2019,11,100,SALARIES AND BENEFITS,5693892.82
2019,11,100,SALARIES AND BENEFITS,5693892.82
2016,1,100,SALARIES AND BENEFITS,5683414.24
2019,5,100,SALARIES AND BENEFITS,5678823.61
2013,2,100,SALARIES AND BENEFITS,5671571.49
2016,3,100,SALARIES AND BENEFITS,5670434.08
2014,9,100,SALARIES AND BENEFITS,5667471.44
2016,9,100,SALARIES AND BENEFITS,5665858.92
2013,3,100,SALARIES AND BENEFITS,5663935.56
2016,8,100,SALARIES AND BENEFITS,5643147.47
2013,1,100,SALARIES AND BENEFITS,5641960.7
2018,10,100,SALARIES AND BENEFITS,5639399.07
2020,4,100,SALARIES AND BENEFITS,5638064.95
2018,11,100,SALARIES AND BENEFITS,5635776.71
2012,1,100,SALARIES AND BENEFITS,5608873.68
2018,9,100,SALARIES AND BENEFITS,5600490.11
2014,8,100,SALARIES AND BENEFITS,5599433.21
2016,11,100,SALARIES AND BENEFITS,5593331.22
2018,12,100,SALARIES AND BENEFITS,5588080.11
2013,8,100,SALARIES AND BENEFITS,5581238.57
2018,8,100,SALARIES AND BENEFITS,5581146.85
2013,9,100,SALARIES AND BENEFITS,5580325.83
2019,4,100,SALARIES AND BENEFITS,5578398.14
2013,12,100,SALARIES AND BENEFITS,5570798.6
2016,1,100,SALARIES AND BENEFITS,5570426.9
2013,4,100,SALARIES AND BENEFITS,5564794.15
2016,12,100,SALARIES AND BENEFITS,5560810.93
2013,5,100,SALARIES AND BENEFITS,5556595.81
2014,11,100,SALARIES AND BENEFITS,5556277.52
2012,8,100,SALARIES AND BENEFITS,5550736.66
2017,9,100,SALARIES AND BENEFITS,5547827.76
2017,4,100,SALARIES AND BENEFITS,5540215.05
2016,10,100,SALARIES AND BENEFITS,5532279.49
2013,6,100,SALARIES AND BENEFITS,5525726.17
2015,12,100,SALARIES AND BENEFITS,5511662.51
2015,3,100,SALARIES AND BENEFITS,5508564.21
2014,12,100,SALARIES AND BENEFITS,5502292.23
2019,7,100,SALARIES AND BENEFITS,5495149.07
2012,11,100,SALARIES AND BENEFITS,5493983.72
2014,10,100,SALARIES AND BENEFITS,5492236.49
2019,1,100,SALARIES AND BENEFITS,5481197.4
2019,1,100,SALARIES AND BENEFITS,5481197.4
2012,9,100,SALARIES AND BENEFITS,5460970.8
2014,2,100,SALARIES AND BENEFITS,5457839.68
2017,5,100,SALARIES AND BENEFITS,5449053.29
2012,5,100,SALARIES AND BENEFITS,5438247.08
2020,11,100,SALARIES AND BENEFITS,5433084.96
2011,6,290,NOT DEF,5432500
2017,8,100,SALARIES AND BENEFITS,5420662
2012,6,100,SALARIES AND BENEFITS,5410553.45
2018,1,100,SALARIES AND BENEFITS,5399009.32
2012,12,100,SALARIES AND BENEFITS,5396635.31
2017,4,100,SALARIES AND BENEFITS,5395060.44
2019,2,100,SALARIES AND BENEFITS,5389005.57
2019,2,100,SALARIES AND BENEFITS,5389005.57
2018,8,100,SALARIES AND BENEFITS,5383726.99
2012,7,100,SALARIES AND BENEFITS,5376668.05
2019,3,100,SALARIES AND BENEFITS,5369591.74
2015,2,100,SALARIES AND BENEFITS,5369044.23
2015,4,100,SALARIES AND BENEFITS,5358456.21
2016,12,100,SALARIES AND BENEFITS,5353879.4
2013,10,100,SALARIES AND BENEFITS,5348678.58
2016,11,100,SALARIES AND BENEFITS,5338541.64
2016,5,100,SALARIES AND BENEFITS,5330828.2
2016,10,100,SALARIES AND BENEFITS,5322800.93
2015,5,100,SALARIES AND BENEFITS,5314061.85
2016,3,100,SALARIES AND BENEFITS,5303417.22
2019,7,298,NOT DEF,5293411.22
2016,9,100,SALARIES AND BENEFITS,5269027.89
2018,9,100,SALARIES AND BENEFITS,5267372.13
2018,2,100,SALARIES AND BENEFITS,5264173.58
2011,6,857,NOT DEF,5257352
2012,3,100,SALARIES AND BENEFITS,5249123.87
2016,6,100,SALARIES AND BENEFITS,5248690.17
2016,4,100,SALARIES AND BENEFITS,5241871.78
2020,10,100,SALARIES AND BENEFITS,5241658.01
2015,6,100,SALARIES AND BENEFITS,5219372.67
2013,3,100,SALARIES AND BENEFITS,5203778.06
2017,9,100,SALARIES AND BENEFITS,5201790.41
2020,12,100,SALARIES AND BENEFITS,5188718.39
2019,8,100,EXPENSES,5171466.35
2013,5,100,SALARIES AND BENEFITS,5164708.06
2018,10,100,SALARIES AND BENEFITS,5164303.74
2012,4,100,SALARIES AND BENEFITS,5151353.43
2017,5,100,SALARIES AND BENEFITS,5145986.36
2016,2,100,SALARIES AND BENEFITS,5141300.03
2014,1,100,SALARIES AND BENEFITS,5135766.22
2013,2,100,SALARIES AND BENEFITS,5124063.63
2019,12,100,SALARIES AND BENEFITS,5121739.41
2013,6,100,SALARIES AND BENEFITS,5104721.28
2013,1,100,SALARIES AND BENEFITS,5093527.82
2019,4,100,SALARIES AND BENEFITS,5085700.34
2012,11,100,SALARIES AND BENEFITS,5072030.17
2012,1,100,SALARIES AND BENEFITS,5071868.48
2014,8,100,SALARIES AND BENEFITS,5049894.44
2014,10,100,SALARIES AND BENEFITS,5049003.27
2013,9,100,SALARIES AND BENEFITS,5044951.87
2013,10,100,SALARIES AND BENEFITS,5041415.74
2014,12,100,SALARIES AND BENEFITS,5036181.33
2012,5,100,SALARIES AND BENEFITS,5018320
2012,9,100,SALARIES AND BENEFITS,5017928.17
2012,10,100,SALARIES AND BENEFITS,5014197.99
2012,2,100,SALARIES AND BENEFITS,5012960.79
2012,8,100,SALARIES AND BENEFITS,5009678.26
2015,1,100,SALARIES AND BENEFITS,5003837.86
2013,11,100,SALARIES AND BENEFITS,5000862.42
2013,8,100,SALARIES AND BENEFITS,4996585.18
2014,11,100,SALARIES AND BENEFITS,4993863.82
2013,12,100,SALARIES AND BENEFITS,4991561.31
2018,3,100,SALARIES AND BENEFITS,4987932.04
2015,8,100,SALARIES AND BENEFITS,4974566.36
2018,11,100,SALARIES AND BENEFITS,4973539.56
2019,5,100,SALARIES AND BENEFITS,4971740.7
2012,6,100,SALARIES AND BENEFITS,4957876.19
2018,12,100,SALARIES AND BENEFITS,4944811.91
2019,8,100,SALARIES AND BENEFITS,4893946.43
2018,4,100,SALARIES AND BENEFITS,4890270.33
2015,1,100,SALARIES AND BENEFITS,4885924.58
2019,7,100,SALARIES AND BENEFITS,4844885.65
2018,4,100,SALARIES AND BENEFITS,4822078.36
